Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0603_1608Metric,131.699,-92.202,90,top
C2,100nF,C_0603_1608Metric,128.27,-83.439,-90,top
C3,100nF,C_0603_1608Metric,124.333,-86.741,90,top
C4,100nF,C_0603_1608Metric,124.206,-91.567,90,top
C5,1uF,C_0603_1608Metric,130.048,-91.567,90,top
Flash,SW_Flash,SW_SPST_FSMSM,137.414,-88.138,0,top
J1,Conn_01x05_Male,PinHeader_1x05_P2.54mm_Vertical,156.718,-97.404,180,top
J2,Conn_01x02_Male,SW_PUSH_6mm_H7.3mm,152.019,-86.995,-90,top
R1,3M3,R_0603_1608Metric,137.922,-92.202,90,top
R2,1M05,R_0603_1608Metric,139.954,-92.202,-90,top
R3,330k,R_0603_1608Metric,141.986,-92.202,-90,top
R4,1M05,R_0603_1608Metric,130.175,-86.741,-90,top
R5,10K,R_0603_1608Metric,124.333,-83.185,90,top
R6,10K,R_0603_1608Metric,126.238,-89.281,0,top
R7,10K,R_0603_1608Metric,134.112,-94.996,180,top
R8,4K7,R_0603_1608Metric,126.619,-94.996,0,top
R9,4K7,R_0603_1608Metric,129.667,-94.996,180,top
R10,10K,R_0603_1608Metric,129.54,-89.281,0,top
Reed Switch,SW_Reed,SW_SPST_REED_CT10-XXXX-G2,134.62,-97.79,180,top
Reset,SW_Reset,SW_SPST_FSMSM,137.414,-83.947,180,top
U1,SPX3819M5-L-3-3,SOT-23-5,134.747,-92.202,180,top
U4,74AHC1G86,SOT-23-5,127.254,-86.741,180,top
U5,74AHC1G86,SOT-23-5,127.127,-91.821,180,top
U6,AHT10,PinHeader_1x04_P2.54mm_Vertical,152.908,-83.439,-90,top
